a1	【A1】adj.第一等的;最佳的;头等的
accentuation	【accentuation】v.重读;强调;重音符号;
accentuator	【accentuator】n.着重者;强调者
accept	【accept】vt.接受;认可
acceptability	【acceptability】n.接受
acceptable	【acceptable】adj.可接受的
acceptably	【acceptably】adv.可欣然接受地
acceptance	【acceptance】n.接受;容纳;承诺;认付
acceptance/of/persons	【acceptance&nbspof&nbsppersons】偏爱，偏坦
acceptant	【acceptant】adj.易接受的;可容纳的
acceptation	【acceptation】n.承认;通义
accepted	【accepted】adj.一般所认可的;有效的
acceptee	【acceptee】n.被接受的人
accepter	【accepter】n.接受人;承诺人;承兑人
acceptive	【acceptive】adj.易接纳的;可领受的
acceptor	【acceptor】=accepter
access	【access】n.接近;接纳
accessary	【accessary】n.同谋;附属;补助;adj.附属的;补助的;同谋的
accessibility	【accessibility】n.易接近;可亲;易受影响
accessible	【accessible】n.可接近的;可使用的
accessibly	【accessibly】adv.可接近地;可亲地
accession	【accession】n.接近;就任;增加;参加;v.登记新到书籍
accessional	【accessional】adj.附加的;另外的
accession/number	【accession&nbspnumber】n.图书馆对新添(书籍;画册)编号
accessoirily	【accessoirily】adv.附从地;附属地
accessorial	【accessorial】adj.补助的;同谋的
accessorius	【accessorius】n.副神经
accessory	【accessory】adj.附属的;补助的;同谋的;n.零件;从犯;附属品
access/permit	【access&nbsppermit】n.进入许可证
access/time	【access&nbsptime】n.存取时间
access/to	【access&nbspto】有权使用
acciaccature	【acciaccature】n.饰音
accidence	【accidence】n.初步;入门
accident	【accident】n.突然事故;意外;横祸
accidental	【accidental】adj.偶然的，意外的
accidentalism	【accidentalism】n.偶然;无意;偶发的结果;偶然论;偶发说
accidentalist	【accidentalist】n.偶然论者;偶然论的
accidentally	【accidentally】adv.偶然地;意外地
accident/boat	【accident&nbspboat】n.救生艇
accidented	【accidented】adj.凹凸不平的
accident/prone	【accident&nbspprone】adj.特别易产生事故的
accidentproof	【accidentproof】adj.防止意外的用具
accidie	【accidie】n.懒惰;忧郁;绝望
accipiter	【accipiter】n.鹰;鹰类的猛禽;鹰爪状绷带
accipitral	【accipitral】adj.鹰的;眼光敏锐的
acclaim	【acclaim】n.喝采;欢呼;赞同;v.欢呼;喝采;称赞
acclamation	【acclamation】n.喝釆;欢呼;赞成;表决通过
acclamatory	【acclamatory】adj.喝釆的;欢呼的;称赞的
acclimate	【acclimate】v.[美]使服水土;适应於新环境
acclimation	【acclimation】n.新环境适应;服水土;适应气候
acclimatization	【acclimatization】=acclimation
acclimatize	【acclimatize】vt.使适应;使服水土
acclivitous	【acclivitous】adj.倾斜的
acclivity	【acclivity】n.斜坡;上坡
acclivous	【acclivous】adj.向上斜的
accolade	【accolade】n.援与;赞赏
accommodable	【accommodable】adj.可适合的;可适应的
accommodate	【accommodate】vt.容纳;适应;供应住宿;
accommodating	【accommodating】adj.和善的;顺从的
accommodation	【accommodation】n.膳宿;适应;调节
accommodation/road	【accommodation&nbsproad】n.专用道路
accommodation/train	【accommodation&nbsptrain】n.美式慢车
accommodative	【accommodative】adj.随和的;亲切的
accommodator	【accommodator】n.适应者;调解者
accompanier	【accompanier】n.同伴;伴唱者
accompaniment	【accompaniment】n.伴随物，附属物;伴唱(奏)
accompanist	【accompanist】随伴者;伴奏者
accompany	【accompany】vt.陪…同行;附有;伴奏
accompanying	【accompanying】adj.陪伴的;附随的
accomplice	【accomplice】n.帮凶
accomplish	【accomplish】vt.完成;达到
accomplishable	【accomplishable】adj.可达成的;可完成的
accomplished	【accomplished】adj.已实现的;已完成的;娴熟的，熟练的
accomplishment	【accomplishment】n.成就;才能;贯彻;修养
accord	【accord】v.一致;调和;vt.给与;使调和;n.调和;和解;意向;[乐]谐和音
accordable	【accordable】n.可一致的
accordance	【accordance】n.一致;给予
accordancy	【accordancy】n.=accord
accordant	【accordant】adj.一致的;相合的;调和的
accordant/junction	【accordant&nbspjunction】n.汇流
accordatura	【accordatura】n.[乐]基调
according	【according】adv.依照;依据;按
according/as	【according&nbspas】随着，按着
accordingly	【accordingly】adv.依照;依据;於是;相应地
according/to	【according&nbspto】依照…
accordion	【accordion】n.手风琴;adj.折摺的;如手风琴之摺箱的
accordionist	【accordionist】n.手风琴演奏者
accost	【accost】vt.搭讪;招呼;勾引
accostable	【accostable】adj.易接近的
accouche	【accouche】v.接生
accouchement	【accouchement】v.分娩;生产
accoucheur	【accoucheur】v.男性妇产科医
accoucheuse	【accoucheuse】v.女助产士;产婆
account	【account】n.计算;会计;报生;解释;原因;重要性;v.解释;说明;认为
accountability	【accountability】n.责任;有义务
accountable	【accountable】adj.有责任的;可解说的
accountably	【accountably】adv.有责任地;可说明地
accountancy	【accountancy】n.会计员(职位)
accountant	【accountant】n.会计员
accountant/general	【accountant&nbspgeneral】n.会计长;会计主任
accountant/officer	【accountant&nbspofficer】n.主计官
accountantship	【accountantship】n.会计职务
account/book	【account&nbspbook】n.帐簿
account/day	【account&nbspday】n.付款日;结帐日
account/for	【account&nbspfor】说明;解释
accounting	【accounting】n.会计(学)
accouter	【accouter】vt.穿;装备
accouterment	【accouterment】n.穿着;配备
accoutre	【accoutre】=&nbspaccouter
accoutrement	【accoutrement】=accouterment
accra	【Accra】n.阿克拉
accredit	【accredit】vt.信任;认可
accreditation	【accreditation】n.鉴定;任命
accredited	【accredited】adj.可接受的;可听的;何信赖的
accrescence	【accrescence】n.添加;成长;加大
accrescent	【accrescent】adj.成长的;加大的
accrete	【accrete】v.生长;合生;(使)附着
accretion	【accretion】n.增加物;黏着物
accroach	【accroach】v.夺取;侵占
accrual	【accrual】n.获利;收益;利息
accrue	【accrue】vi.产生;发生;增殖
acculturate	【acculturate】v.(使)接受社会文化;(使)文化改观
acculturation	【acculturation】n.文化交流;文化改观
acculturationist	【acculturationist】n.文化传入过程研究者
acculturize	【acculturize】v.使…接受外来文化
accumbent	【accumbent】adj.横卧的;凭着的;依伏的
accumulate	【accumulate】v.积;储蓄;累积
accumulation	【accumulation】n.累积;堆积
accumulation/point	【accumulation&nbsppoint】n.聚点
accumulative	【accumulative】adj.热心积聚的;积累的
accumulator	【accumulator】n.累积者;储蓄家;储电池
accuracy	【accuracy】n.正确;准确;精密
accurate	【accurate】adj.正确的;准确的;精密的
accurately	【accurately】adv.正确地;精密地
accursed	【accursed】adj.被咒的;可恶的
accurst	【accurst】adj.被咒的;可恶的
accusable	【accusable】adj.可指控的;可责备的
accusal	【accusal】adj.指控;谴责
accusant	【accusant】adj.指控者;指责者
accusation	【accusation】n.责备;控告;告发
accusatival	【accusatival】adj.[文]直接受格的
accusative	【accusative】n.直接受格;adj.[文]直接受格的
accusatorial	【accusatorial】adj.控告者的;告发人的
accusatory	【accusatory】adj.问罪的;控告的
accuse	【accuse】vt.谴责;控告;归咎
accused	【accused】n.被告;adj.被控告的
accuse/of	【accuse&nbspof】因某事控告某人
accuser	【accuser】n.控告人;原告
accusing	【accusing】adj.怪罪的;归咎的
accusingly	【accusingly】adv.怪罪地
accustom	【accustom】vt.使习惯
accustomed	【accustomed】adj.习惯了的，惯常的
accustomed/hour	【accustomed&nbsphour】惯常时间
accutron	【accutron】n.电子手表
ac/dc	【AC/DC】交直流两用
ace	【ace】n.么点;能手;王牌;adj.第一流的;卓越的
acedia	【acedia】n.懒惰;绝望;忧郁
ace/high	【ace&nbsphigh】adj.adv.极好(的，地)
aceldama	【Aceldama】n.血田;流血之地
acellular	【acellular】adj.无细胞的
acentric	【acentric】adj.无中心的;离心的
aceous	【-aceous】…似…的;有…之性质的
acephalous	【acephalous】adj.无头的;群龙无首的
acequia	【acequia】n.灌溉水渠
aceraceous	【aceraceous】adj.槭树科的
acerate	【acerate】adj.有针状叶子的
acerb	【acerb】adj.酸涩的;刻薄的
acerbate	【acerbate】adj.发怒的;心怀怨恨的;v.激怒;使苦涩
acerbating	【acerbating】adj.使发怒的;使烦恼的
acerbic	【acerbic】adj.酸的;涩的;尖刻的
acerbity	【acerbity】n.酸味;苦涩;刻薄
acerose	【acerose】adj.针状的
acerous	【acerous】adj.无角的
acervate	【acervate】adj.群生的
acervulus	【acervulus】n.分生孢子层
acescent	【acescent】adj.容易变酸的;发酸的
acesodyne	【acesodyne】n.止痛;止痛药;adj.止痛的
acestoma	【acestoma】n.肉芽块
acet	【acet.】=acetone
acetabula	【acetabula】pl.=acetabulum
acetabuliform	【acetabuliform】adj.碟状的
acetabulum	【acetabulum】n.[解]髀臼;[动]吸盘
acetal	【acetal】n.[化]乙酸醛
acetaldehyde	【acetaldehyde】n.[化]乙醛;醋醛
acetamide	【acetamide】n.乙醯胺
acetanilid	【acetanilid】n.止痛(退热)剂
acetarious	【acetarious】adj.拌生菜食用的;凉拌用的
acetate	【acetate】n.[化]醋酸盐
acetated	【acetated】adj.用醋酸处理过的
acetic	【acetic】adj.醋的;酸的
acetic/acid	【acetic&nbspacid】n.乙酸;醋酸
acetic/anhydride	【acetic&nbspanhydride】n.乙酐;无水醋酸
aceticity	【aceticity】v.醋化;发酸
aceticous	【aceticous】adj.醋一样的
acetification	【acetification】n.醋化作用
acetifier	【acetifier】n.醋酸制造器;醋化器
acetify	【acetify】v.醋化;变酸
acetimeter	【acetimeter】n.醋酸比重计
acetobacter	【acetobacter】n.醋菌属
acetometer	【acetometer】n.醋酸计
acetone	【acetone】n.[化]丙酮
acetone/body	【acetone&nbspbody】n.酮体
acetophenetidin	【acetophenetidin】n.乙醯氧乙苯胺
acetose	【acetose】adj.酸的;醋一样酸的
acetous	【acetous】adj.醋的;酸的
acetum	【acetum】n.醋酸溶液;醋
acetyl	【acetyl】n.乙醯基;醋酸基
acetylate	【acetylate】v.[化]加乙醯基於
acetylcholine	【acetylcholine】n.醋胆素
acetylene	【acetylene】n.[化]乙炔;电石气
acetylic	【acetylic】adj.乙醯基群的
achaea	【Achaea】n.阿该亚(古希腊的一地区)
achaean	【Achaean】n.阿该亚人;希腊人
achaetous	【achaetous】adj.无刚毛的
a/chain/is/no/stronger/than/its/weakest/link	【a&nbspchain&nbspis&nbspno&nbspstronger&nbspthan&nbspits&nbspweakest&nbsplink】n.最弱的一环决定了整个链条的强度
achalasia	【achalasia】n.[医]弛缓不能
acharnement	【acharnement】n.凶猛
achates	【Achates】n.忠实的朋友
ache	【ache】n.vt.痛，疼痛;渴望;憧憬
achech	【achech】n.有鸟翼的狮身怪物
achelous	【Achelous】n.河神
achene	【achene】n.[植]瘦果
acheron	【Acheron】n.[希神，罗神]冥河;阴间;黄泉;地狱
acheulean	【Acheulean】adj.阿秀尔时期的
acheulian	【Acheulian】adj.欧洲旧石器时代早期文化的
achievable	【achievable】adj.可完成的
achieve	【achieve】vt.完成;获得
achievement	【achievement】n.完成，成就
achievement/quotient	【achievement&nbspquotient】n.成绩指数(以教育成绩除以年龄得的指数)
achievement/test	【achievement&nbsptest】n.成就测验
achillean	【achillean】adj.勇敢的;刀枪不伤的;[A-]阿奇力斯的
achilles	【Achilles】n.阿契里斯
achinese	【Achinese】n.阿钦族;阿钦人(语)
aching	【aching】adj.痛的;疼痛的;心痛的
achiote	【achiote】n.胭脂子;胭脂树
achlamydeous	【achlamydeous】adj.无花被的
achlorophyllous	【achlorophyllous】adj.无叶绿素的
acholuria	【acholuria】n.[医]无胆尿
achondrite	【achondrite】n.不含球粒陨石
achondroplasia	【achondroplasia】n.软骨发育不全
achromat	【achromat】色盲患者
achromatic	【achromatic】adj.无色的;消色差的
achromaticity	【achromaticity】n.无色;消色差性
achromatic/vision	【achromatic&nbspvision】n.[医]无色视觉;完全色盲
achromatin	【achromatin】n.(细胞核内的)非染色质
achromatism	【achromatism】=achromaticity
achromatization	【achromatization】n.无色彩;消色差
achromatize	【achromatize】n.使无色;灭色;去色
achromatophil	【achromatophil】n.拒色组织
achromatophilia	【achromatophilia】n.拒染性
achromatopsia	【achromatopsia】n.色盲
achromatopsy	【achromatopsy】n.完全色盲
achromatous	【achromatous】adj.无色;淡色的
achromic	【achromic】adj.色素缺乏的
achromobacter	【achromobacter】n.无色菌
achromycin	【achromycin】n.铂霉素
acicula	【acicula】n.[生]针;刺
acicular	【acicular】adj.针状的;针尖状的
aciculate	【aciculate】adj.有刺的
acid	【acid】adj.酸味的;尖酸的;尖刻的;n.[化]酸;酸性物质
acid/color	【acid&nbspcolor】n.酸性染料
acid/drop	【acid&nbspdrop】n.酸的糖果
acidemia	【acidemia】n.[医]酸血症
acidfast	【acid-fast】adj.不易被酸褪色的
acidforming	【acid-forming】adj.成酸性的
acidhead	【acidhead】n.吃迷幻药者
acidic	【acidic】adj.产生酸的;酸性的
acidification	【acidification】n.发酸;酸化;成酸性
acidifier	【acidifier】n.成酸剂
acidify	【acidify】vt.酸化;发酸;使成酸性
acidimeter	【acidimeter】n.酸液比重计
acidimetry	【acidimetry】n.酸量滴定法
acidity	【acidity】n.酸味;酸(性)度
acidize	【acidize】v.用酸处理;使酸化;使发酸;转化为酸
acid/looks	【acid&nbsplooks】n.不和乐的表情
acidly	【acidly】adv.不和悦地;尖刻地
acidness	【acidness】n.不和悦的样子
acidogenic	【acidogenic】adj.引起酸化的
acidoid	【acidoid】n.可能变酸的物质;adj.有变酸倾向的
acidophil	【acidophil】n.嗜酸细胞;adj.嗜酸的
acidophilic	【acidophilic】adj.嗜酸的
acidophilus	【acidophilus】adj.嗜酸的
acidosis	【acidosis】n.酸中毒
acidproof	【acidproof】adj.耐酸的
acid/rain	【acid&nbsprain】n.酸雨
acid/rock	【acid&nbsprock】n.疯狂摇滚乐曲
acid/soil	【acid&nbspsoil】n.酸性土壤
acid/stomach	【acid&nbspstomach】n.胃酸过多
acid/test	【acid&nbsptest】n.酸性试验;严密的检查;决定性的分折
acidtongued	【acid-tongued】adj.说话非常尖酸的
acid/trip	【acid&nbsptrip】n.吃迷幻药後引起的幻觉(经历)
acidulate	【acidulate】v.酸化;使稍带酸味;使性情乖僻;使难受
acidulated	【acidulated】adj.带酸味的;微酸的;性情乖僻的;易怒的
acidulous	【acidulous】adj.稍酸味的;不和悦的;锐利的;性情乖僻
aciduric	【aciduric】adj.耐酸的
acidy	【acidy】adj.有些酸味的
acierate	【acierate】vt.使成钢
aciform	【aciform】adj.针状的
acinaceous	【acinaceous】adj.[植]多子的
acinacifoliate	【acinacifoliate】adj.[植]弯月状的
acinaciform	【acinaciform】adj.[植]弯月状的
aciniform	【aciniform】adj.腺胞状的;葡萄状的
acinus	【acinus】n.小核果;葡萄核;葡萄状腺
acious	【-acious】有…倾向的;多…的
acity	【-acity】…性;富於…
ackack	【ack-ack】n.adj.[军俚]高射炮(的)
ackemma	【ackemma】n.上午;飞机修理工
ackey	【ackey】n.西非黄金海岸用银元;电镀用的硝酸硫酸混合液
acknowledge	【acknowledge】vt.承认;感谢;公证
acknowledged	【acknowledged】adj.公认的;被认可的;已有定评的
acknowledgement	【acknowledgement】=acknowledgment
acknowledgment	【acknowledgment】n.世所承认;感谢;谢意
aclinic	【aclinic】adj.无倾角的
